reading_id,meter_id,reading_timestamp,consumption_kwh,reading_type,loaded_at
R001,M001,2026-08-16 00:00:00,2.3,actual,2026-08-16 00:15:00
R002,M001,2026-08-16 06:00:00,3.1,actual,2026-08-16 06:12:00
R003,M001,2026-08-16 12:00:00,2.8,actual,2026-08-16 12:14:00
R004,M001,2026-08-16 18:00:00,4.0,actual,2026-08-16 18:10:00
R005,M001,2026-08-17 00:00:00,2.5,actual,2026-08-17 00:13:00
R006,M001,2026-08-17 06:00:00,3.4,actual,2026-08-17 06:12:00
R007,M001,2026-08-17 12:00:00,3.0,actual,2026-08-17 12:16:00
R008,M001,2026-08-17 18:00:00,4.1,estimated,2026-08-17 18:14:00
R009,M002,2026-08-16 00:00:00,1.8,actual,2026-08-16 00:17:00
R010,M002,2026-08-16 06:00:00,2.4,actual,2026-08-16 06:13:00
R011,M002,2026-08-16 12:00:00,2.1,actual,2026-08-16 12:11:00
R012,M002,2026-08-16 18:00:00,3.5,actual,2026-08-16 18:09:00
R013,M002,2026-08-17 00:00:00,2.0,actual,2026-08-17 00:12:00
R014,M002,2026-08-17 06:00:00,2.6,actual,2026-08-17 06:14:00
R015,M002,2026-08-17 12:00:00,2.3,actual,2026-08-17 12:15:00
R016,M002,2026-08-17 18:00:00,3.7,actual,2026-08-17 18:12:00
R017,M004,2026-08-16 00:00:00,3.0,actual,2026-08-16 00:20:00
R018,M004,2026-08-16 06:00:00,4.2,actual,2026-08-16 06:18:00
R019,M004,2026-08-16 12:00:00,3.8,actual,2026-08-16 12:19:00
R020,M004,2026-08-16 18:00:00,5.1,actual,2026-08-16 18:15:00
R021,M005,2026-08-16 00:00:00,2.4,actual,2026-08-16 00:16:00
R022,M005,2026-08-16 06:00:00,3.0,actual,2026-08-16 06:17:00
R023,M005,2026-08-16 12:00:00,2.7,actual,2026-08-16 12:13:00
R024,M005,2026-08-16 18:00:00,4.3,estimated,2026-08-16 18:11:00
R025,M001,2026-08-17 19:00:00,1.2,actual,2026-08-17 19:12:00
R026,M002,2026-08-17 19:00:00,1.0,actual,2026-08-17 19:13:00
R027,M004,2026-08-17 19:00:00,1.5,actual,2026-08-17 19:14:00
R028,M005,2026-08-17 19:00:00,1.1,actual,2026-08-17 19:15:00
R029,M001,2026-08-17 20:00:00,1.5,actual,2026-08-17 20:20:00
